Club;Avg_age;Foreigners;Avg_market_value_MLN_EUR;Total_market_value_MLN_EUR;Season
Eibar;26,8;9;1,82;60,05;2017/18
Leganes;26,8;15;1,72;58,55;2017/18
Malaga;25,8;17;1,38;55,2;2017/18
Barcelona;24,7;22;27,3;1200;2018/19
Real Madrid;24,6;20;24,6;1030;2018/19
Ath Madrid;24,2;22;23,82;1000;2018/19
Valencia;25;19;14,26;513,45;2018/19
Sevilla;26;21;7,91;308,3;2018/19
Betis;25,4;17;7,99;303,5;2018/19
Sociedad;24,1;9;9,12;300,95;2018/19
Villarreal;26,8;17;6,38;248,95;2018/19
Ath Bilbao;26,9;2;7,07;240,25;2018/19
Celta;25,4;21;7,28;240,1;2018/19
Espanol;26,7;9;6,12;195,7;2018/19
Getafe;26,7;15;4,1;135,4;2018/19
Alaves;25,4;12;3,17;114,1;2018/19
Leganes;25,9;19;2,96;112,45;2018/19
Levante;25,8;11;3,39;108,55;2018/19
Girona;25,9;12;2,95;97,25;2018/19
Eibar;27,3;8;3;96,1;2018/19
Vallecano;26,2;13;2,41;86,7;2018/19
Valladolid;25,1;8;2,02;83;2018/19
Huesca;26,7;15;1,57;61,4;2018/19
Barcelona;24,4;25;21,65;930,93;2019/20
Real Madrid;25,6;20;27,69;913,75;2019/20
Ath Madrid;24,8;17;21,22;721,35;2019/20
Valencia;25,5;17;12,96;427,8;2019/20
Sociedad;24,5;8;9,65;347,55;2019/20
Sevilla;25,7;16;8,42;294,75;2019/20
Betis;25;10;6,43;244,35;2019/20
Ath Bilbao;26,3;1;6,62;211,75;2019/20
Villarreal;26,4;11;6,32;208,68;2019/20
Getafe;28;17;5,32;175,45;2019/20
Celta;24,9;13;4,77;167;2019/20
Espanol;25,8;12;3,9;156,05;2019/20
Leganes;25,3;16;2,81;109,7;2019/20
Alaves;26,1;11;2,89;106,75;2019/20
Levante;26,5;8;2,74;90,5;2019/20
Valladolid;25,6;9;2,37;87,78;2019/20
Mallorca;26,4;15;1,85;64,68;2019/20
Osasuna;26,4;4;1,7;62,78;2019/20
Granada;25,9;13;1,66;56,58;2019/20
Eibar;28,3;11;1,85;53,75;2019/20
Barcelona;25;21;24,77;817,5;2020/21
Real Madrid;24,8;17;21,28;787,3;2020/21
Ath Madrid;24,9;21;19,82;773,1;2020/21
Sevilla;25,6;17;11,01;418,25;2020/21
Sociedad;24,7;6;10,7;406,6;2020/21
Villarreal;25,9;13;8,13;292,6;2020/21
Valencia;24,7;20;7,97;278,85;2020/21
Betis;26,8;12;6,29;207,7;2020/21
Ath Bilbao;25,9;1;6,38;204,15;2020/21
Getafe;25,4;19;5,15;170,1;2020/21
Celta;24,3;12;3,8;155,85;2020/21
Granada;24,9;17;2,79;122,65;2020/21
Levante;26,5;10;3,32;113;2020/21
Osasuna;27;7;2,69;96,75;2020/21
Eibar;27,1;9;2,45;83,4;2020/21
Alaves;25,6;10;2,28;79,8;2020/21
Huesca;26,5;8;1,89;64,1;2020/21
Valladolid;26,9;9;1,62;63,05;2020/21
Cadiz;27,2;16;1,16;47,65;2020/21
Elche;26,7;14;1,09;45,65;2020/21
