Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;30.08.2003;Reggina;Sampdoria;2;2;D;2;0;H;lut.25;3;03.sty;02.mar;02.wrz;03.sty;02.lut;02.lip;03.lut;02.lut;3;3;lut.25;3;3;lut.25;3;3;02.lut;lut.87;03.sty;01.wrz;sty.79;sty.83;sty.83;2;01.sie;-0.25;02.maj;01.sie;-0.25;2.075;1.825;-0.25
I1;31.08.2003;Bologna;Parma;2;2;D;1;1;D;02.mar;3;3;lut.35;02.wrz;3;02.lut;02.sie;03.sty;lut.25;3;2.875;lut.25;3;3;lut.25;3;3;lut.25;lut.87;3;01.wrz;sty.79;01.wrz;01.sie;02.sty;sty.75;-0.25;02.sty;sty.75;-0.25;sty.75;lut.15;0
I1;31.08.2003;Brescia;Chievo;1;1;D;0;1;A;2.375;3;2.875;lut.35;02.wrz;3;02.mar;02.lip;3;lut.25;3;2.875;02.mar;3;lut.88;02.mar;3;lut.87;lut.25;3;lut.87;01.wrz;sty.79;2;sty.72;02.maj;sty.77;-0.25;02.sty;sty.75;-0.25;sty.75;lut.15;0
I1;31.08.2003;Inter;Modena;2;0;H;0;0;D;sty.25;5;10;sty.25;04.maj;11;01.mar;04.lut;8;sty.25;04.maj;10;sty.22;5;10;sty.22;04.sie;11;sty.25;04.maj;10;sty.65;02.maj;01.sie;01.wrz;sty.85;sty.95;-1.5;01.wrz;sty.95;-1.5;1.925;1.975;-1.5
I1;31.08.2003;Juventus;Empoli;5;1;H;1;0;H;1.222;5;13;sty.25;04.maj;11;sty.25;04.maj;9;sty.25;04.maj;10;sty.22;5;10;sty.22;04.sie;11;01.lut;5;11;sty.55;lut.25;sty.72;2;sty.85;sty.95;-1.5;sty.85;2;-1.5;1.875;2.025;-1.5
I1;31.08.2003;Lazio;Lecce;4;1;H;3;0;H;1.333;4;10;01.kwi;mar.75;07.lip;sty.35;4;7;1.333;mar.75;9;sty.33;4;08.maj;sty.33;4;08.maj;sty.36;03.cze;9;01.cze;lut.15;01.sie;01.wrz;01.sie;2;-1.25;02.maj;01.sie;-1.5;01.wrz;2;-1.25
I1;31.08.2003;Perugia;Siena;2;2;D;2;1;H;1.667;03.lut;05.maj;sty.67;03.lut;maj.25;01.lip;03.sty;04.kwi;1.667;2.875;05.maj;sty.67;03.lut;5;sty.66;03.lut;5;sty.66;03.sty;5;01.wrz;sty.79;01.wrz;01.sie;01.sie;2;-0.75;sty.85;2;-0.75;01.wrz;2;-0.75
I1;31.08.2003;Udinese;Roma;1;2;A;1;1;D;02.cze;03.lut;02.maj;lut.55;3;lut.65;02.maj;3;02.maj;02.kwi;3;2.625;02.cze;lut.88;02.cze;02.cze;lut.87;02.cze;02.maj;02.wrz;lut.62;sty.75;sty.95;01.wrz;01.sie;01.sie;2;0;01.wrz;sty.95;0;01.wrz;2;0
I1;01.09.2003;Ancona;Milan;0;2;A;0;1;A;5;03.sty;1.727;maj.25;03.lut;sty.67;04.lut;03.lut;01.lip;04.maj;mar.25;1.667;5;03.lut;sty.67;5;03.lut;sty.66;04.maj;03.sty;sty.72;sty.79;01.wrz;sty.83;sty.83;01.lip;02.sty;1;2;sty.85;0.75;2;01.wrz;0.75
I1;13.09.2003;Milan;Bologna;2;1;H;1;1;D;sty.33;kwi.33;08.maj;sty.36;4;08.maj;sty.35;03.sie;07.maj;1.364;mar.75;8;sty.36;4;07.maj;sty.36;4;07.maj;sty.36;mar.75;8;sty.75;sty.95;01.sie;01.wrz;2;01.sie;-1.25;2;sty.85;-1.25;01.sie;02.sty;-1
I1;13.09.2003;Sampdoria;Lazio;1;2;A;0;1;A;03.sty;3;lut.25;3;3;02.mar;03.sty;02.sie;02.lut;2.875;3;lut.25;3;3;lut.25;3;3;lut.25;02.sie;02.wrz;lut.37;01.wrz;sty.79;2;sty.72;01.sie;2;0.25;sty.85;2;0.25;01.wrz;2;0.25
I1;14.09.2003;Chievo;Juventus;1;2;A;1;1;D;4;mar.25;sty.83;04.lut;03.sty;sty.85;03.cze;3;01.wrz;4;3;1.833;4;mar.25;01.sie;4;03.sty;sty.85;4;lut.87;01.wrz;sty.75;sty.95;sty.83;sty.83;sty.95;sty.85;0.5;2;sty.85;0.5;1.975;1.925;0.5
I1;14.09.2003;Empoli;Reggina;1;1;D;1;1;D;2;3;mar.75;02.maj;02.wrz;03.lip;01.wrz;02.sie;4;02.sty;3;03.lut;2;3;03.maj;2;3;03.maj;2;lut.87;03.cze;02.maj;sty.65;2;sty.72;02.maj;sty.77;-0.5;02.sty;sty.75;-0.5;02.maj;sty.85;-0.5
I1;14.09.2003;Lecce;Ancona;3;1;H;1;0;H;01.sie;03.lut;kwi.33;sty.85;3;kwi.35;01.sie;02.wrz;04.lut;01.sie;3;4.333;sty.83;3;kwi.33;sty.83;02.wrz;kwi.33;01.wrz;lut.87;4;02.maj;sty.65;2;sty.72;sty.85;sty.95;-0.5;sty.75;02.sty;-0.5;1.875;2.025;-0.5
I1;14.09.2003;Modena;Udinese;0;1;A;0;0;D;02.kwi;03.sty;lut.75;02.maj;lut.85;lut.85;02.kwi;02.sie;02.sie;2.375;3;lut.75;02.maj;3;lut.62;02.maj;3;02.cze;lut.37;3;02.lip;2;sty.71;02.sty;sty.66;sty.77;02.maj;0;sty.75;02.sty;0;1.875;2.025;-0.5
I1;14.09.2003;Parma;Perugia;3;0;H;1;0;H;sty.66;03.kwi;5;sty.65;mar.25;05.mar;01.cze;03.lut;5;1.533;mar.25;6;sty.67;03.lut;5;sty.66;03.lut;5;sty.53;mar.25;6;sty.85;sty.85;01.sie;01.wrz;sty.85;sty.95;-0.75;sty.85;2;-0.75;1.825;2.075;-0.75
I1;14.09.2003;Roma;Brescia;5;0;H;3;0;H;01.kwi;mar.75;08.maj;01.kwi;03.sie;8;01.kwi;03.lip;06.maj;01.kwi;03.maj;8;01.kwi;mar.75;07.maj;01.kwi;mar.75;07.maj;sty.36;mar.75;8;sty.71;2;01.sie;01.wrz;01.wrz;01.wrz;-1.25;01.wrz;sty.95;-1.25;2;01.wrz;-1.25
I1;14.09.2003;Siena;Inter;0;1;A;0;1;A;kwi.33;03.lut;01.sie;04.maj;03.sty;01.sie;4;3;01.sie;4.333;03.lut;1.727;kwi.33;3;01.sie;04.lut;03.sty;01.sie;5;02.wrz;sty.72;sty.85;sty.85;sty.83;sty.83;2;01.sie;0.5;sty.95;01.wrz;0.5;2.025;1.875;0.5
I1;20.09.2003;Ancona;Modena;1;1;D;0;0;D;02.lut;3;03.lut;02.lut;02.wrz;03.lut;02.lut;02.sie;03.sty;02.sty;3;03.lut;02.lut;lut.88;03.lut;02.lut;lut.87;03.lut;02.sty;lut.87;03.mar;02.maj;sty.65;2;sty.72;2;01.sie;-0.25;;;;2.025;1.875;-0.25
I1;20.09.2003;Siena;Empoli;4;0;H;2;0;H;02.sty;3;03.maj;2;lut.95;mar.65;2;02.wrz;03.kwi;2;3;03.kwi;2;3;03.maj;2;3;03.maj;02.sty;lut.75;03.maj;02.maj;sty.65;2;sty.72;sty.75;02.maj;-0.25;02.maj;01.sie;-0.5;02.sty;01.sie;-0.5
I1;21.09.2003;Bologna;Udinese;2;0;H;0;0;D;02.sty;3;03.maj;02.sty;lut.95;mar.35;02.sty;02.sie;03.mar;02.sty;3;03.lut;2;3;03.maj;2;3;03.maj;2;lut.87;03.cze;sty.85;sty.85;2;sty.72;sty.85;sty.95;-0.25;sty.85;2;-0.25;01.wrz;2;-0.25
I1;21.09.2003;Brescia;Reggina;4;4;D;1;2;A;01.wrz;03.sty;4;sty.95;3;mar.75;01.wrz;02.wrz;03.sie;1.833;3;4;sty.83;03.sty;4;sty.83;03.sty;4;sty.83;3;4;2;sty.71;01.wrz;01.sie;01.wrz;01.wrz;-0.5;sty.95;01.wrz;-0.5;02.sty;01.sie;-0.5
I1;21.09.2003;Inter;Sampdoria;0;0;D;0;0;D;01.kwi;4;07.maj;01.kwi;mar.75;07.cze;sty.35;4;7;1.364;03.cze;9;sty.33;4;08.maj;sty.33;04.lut;8;sty.33;4;8;sty.65;02.maj;01.sie;01.wrz;lut.15;01.lip;-1.5;sty.85;2;-1.25;01.wrz;2;-1.25
I1;21.09.2003;Juventus;Roma;2;2;D;2;1;H;01.wrz;03.sty;4;sty.85;03.sty;4;01.wrz;02.wrz;03.sie;01.sie;03.lut;4;01.sie;03.sty;04.lut;01.sie;03.sty;04.lut;;;;sty.75;sty.95;01.wrz;01.sie;lut.15;01.lip;-0.75;sty.95;01.wrz;-0.5;2;01.wrz;-0.5
I1;21.09.2003;Lazio;Parma;2;3;A;1;1;D;sty.72;03.sty;5;01.lip;mar.15;kwi.85;01.lip;03.sty;04.kwi;1.667;mar.25;04.maj;sty.73;03.lut;04.maj;sty.72;03.lut;04.maj;sty.72;03.lut;kwi.33;sty.71;2;01.sie;01.wrz;2;01.sie;-0.75;01.sie;02.maj;-0.5;sty.85;02.maj;-0.5
I1;21.09.2003;Lecce;Chievo;1;2;A;0;0;D;lut.37;3;lut.87;lut.37;lut.95;lut.85;02.mar;02.sie;02.wrz;2.375;3;lut.75;lut.38;3;lut.75;02.kwi;3;lut.75;02.kwi;02.wrz;lut.75;01.wrz;sty.79;01.wrz;01.sie;02.maj;sty.75;-0.25;02.sty;sty.75;-0.25;02.sty;01.sie;-0.25
I1;21.09.2003;Perugia;Milan;1;1;D;1;1;D;4;03.sty;01.wrz;4;03.sty;sty.85;03.kwi;02.wrz;2;mar.75;3;1.909;mar.75;03.sty;sty.91;mar.75;03.sty;01.wrz;4;03.sty;01.sie;sty.85;sty.85;01.wrz;01.sie;01.lip;lut.15;0.75;01.wrz;sty.95;0.5;sty.95;sty.95;0.5
I1;27.09.2003;Reggina;Juventus;0;2;A;0;1;A;04.maj;03.lut;sty.72;04.maj;mar.15;sty.75;4;03.lut;sty.75;4.333;03.lut;1.727;04.maj;03.maj;sty.67;04.maj;03.lut;sty.72;04.maj;03.sty;sty.72;sty.75;sty.95;sty.83;sty.83;02.sie;sty.75;0.5;02.maj;01.sie;0.5;02.maj;sty.85;0.5
I1;27.09.2003;Udinese;Inter;0;0;D;0;0;D;mar.25;3;02.sty;03.lut;03.sty;02.sty;02.sie;02.wrz;02.mar;3;3;02.lut;mar.25;3;02.sty;mar.25;3;02.sty;03.kwi;3;2;sty.79;sty.85;sty.83;sty.83;01.wrz;01.wrz;0.25;sty.95;01.wrz;0.25;1.975;1.925;0.25
I1;28.09.2003;Chievo;Perugia;4;1;H;1;0;H;01.sie;3;kwi.33;01.sie;3;04.maj;01.sie;3;4;1.667;mar.25;04.maj;01.sie;3;kwi.33;sty.83;3;04.lut;01.sie;03.sty;4;sty.71;2;01.sie;01.wrz;02.mar;sty.55;-1;sty.75;02.sty;-0.5;sty.85;02.maj;-0.5
I1;28.09.2003;Empoli;Lazio;2;2;D;0;1;A;04.maj;03.lut;sty.72;kwi.75;03.lut;01.lip;04.lut;03.lut;01.lip;4;03.lut;01.sie;04.maj;3;01.sie;04.maj;3;01.sie;04.maj;03.sty;sty.72;sty.71;2;01.sie;01.wrz;01.sie;2;0.75;sty.85;2;0.75;02.sty;01.sie;0.5
I1;28.09.2003;Milan;Lecce;3;0;H;1;0;H;sty.22;5;10;sty.22;5;11;sty.25;04.maj;9;1.222;5;10;sty.22;5;10;sty.22;5;10;01.lut;5;11;01.maj;lut.35;sty.72;2;01.wrz;01.wrz;-1.5;2;sty.85;-1.5;sty.95;sty.95;-1.5
I1;28.09.2003;Modena;Bologna;2;0;H;2;0;H;02.kwi;02.wrz;02.sie;02.maj;lut.95;02.lip;02.maj;02.sie;02.lip;2.375;3;lut.75;02.maj;lut.88;lut.75;02.maj;lut.87;lut.75;lut.37;02.wrz;02.sie;2;sty.71;01.wrz;01.sie;01.sie;2;0;sty.75;02.sty;0;01.sie;02.sty;0
I1;28.09.2003;Parma;Siena;1;1;D;0;1;A;01.maj;03.kwi;06.maj;sty.51;03.mar;cze.75;sty.45;03.sie;05.kwi;01.kwi;mar.75;7;sty.44;03.maj;7;sty.44;03.cze;7;sty.44;03.maj;7;sty.65;02.maj;01.sie;01.wrz;01.wrz;01.wrz;-1;sty.85;2;-1;1.925;1.975;-1
I1;28.09.2003;Roma;Ancona;3;0;H;0;0;D;sty.16;05.maj;13;01.lut;5;13;01.lut;5;10;01.lut;5;11;sty.17;05.maj;13;sty.16;05.maj;13;sty.16;05.maj;12;01.kwi;lut.65;sty.66;02.sty;01.sie;2;-1.75;01.wrz;sty.95;-2;1.775;2.125;-1.75
I1;28.09.2003;Sampdoria;Brescia;2;1;H;0;0;D;01.sie;3;kwi.33;sty.77;03.maj;04.cze;01.wrz;3;03.cze;1.833;03.lut;mar.75;01.sie;3;kwi.33;01.sie;03.sty;04.lut;sty.83;3;4;sty.95;sty.75;01.wrz;01.sie;sty.78;02.mar;-0.5;02.maj;01.sie;-0.75;01.sie;02.sty;-0.5
I1;05.10.2003;Ancona;Udinese;0;3;A;0;2;A;3;3;lut.25;03.sty;3;lut.25;3;02.wrz;02.lut;02.sie;2.875;2.375;3;lut.88;02.mar;3;lut.87;02.mar;02.lip;3;lut.37;2;sty.71;2;sty.72;01.wrz;01.wrz;0.25;01.wrz;sty.95;0.25;sty.95;sty.95;0.25
I1;05.10.2003;Empoli;Modena;0;3;A;0;0;D;02.sty;3;mar.25;lut.15;3;03.mar;02.sty;02.sie;03.mar;02.sty;3;03.lut;02.sty;lut.88;03.kwi;02.sty;lut.87;03.kwi;02.sty;lut.87;03.mar;lut.15;01.cze;2;sty.72;01.wrz;01.wrz;-0.25;01.wrz;sty.95;-0.25;sty.85;02.maj;-0.25
I1;05.10.2003;Inter;Milan;1;3;A;0;1;A;lut.62;02.sie;lut.62;lut.65;02.sie;02.lip;02.cze;02.sie;02.cze;02.maj;2.875;2.625;02.cze;lut.88;02.cze;02.cze;lut.87;02.cze;02.cze;02.sie;02.cze;2;sty.71;01.wrz;01.sie;01.wrz;01.wrz;0;sty.95;01.wrz;0;1.975;1.925;0
I1;05.10.2003;Juventus;Bologna;2;1;H;1;1;D;01.mar;kwi.33;9;sty.35;4;9;01.mar;4;08.maj;1.364;03.cze;9;01.mar;kwi.33;08.maj;01.mar;kwi.33;08.maj;01.mar;04.lut;08.maj;sty.85;sty.85;sty.72;2;01.sie;2;-1.25;02.maj;01.sie;-1.5;01.sie;02.sty;-1.25
I1;05.10.2003;Lazio;Chievo;1;0;H;0;0;D;sty.61;03.lut;05.maj;sty.71;mar.15;5;01.lip;03.sty;04.kwi;1.667;mar.25;04.maj;sty.62;03.lut;05.maj;sty.61;03.lut;05.maj;sty.57;03.mar;05.maj;sty.65;02.maj;sty.72;2;2;01.sie;-0.75;2;sty.85;-0.75;sty.95;sty.95;-0.75
I1;05.10.2003;Lecce;Brescia;1;4;A;1;1;D;02.sty;3;mar.25;02.sty;3;03.kwi;02.sty;02.sie;03.mar;2;3;03.kwi;2;3;03.maj;2;3;03.maj;02.lut;lut.87;03.sty;2;sty.71;01.wrz;01.sie;sty.85;sty.95;-0.25;;;;2.125;1.775;-0.5
I1;05.10.2003;Parma;Sampdoria;1;0;H;1;0;H;sty.61;03.lut;05.maj;sty.71;mar.15;5;sty.65;03.lut;04.cze;1.727;03.lut;4.333;sty.67;03.lut;5;sty.66;03.lut;5;sty.66;03.sty;5;sty.85;sty.85;01.sie;01.wrz;sty.85;sty.95;-0.75;01.wrz;sty.95;-0.75;sty.85;02.maj;-0.75
I1;05.10.2003;Perugia;Reggina;0;0;D;0;0;D;01.wrz;02.wrz;4;sty.85;3;kwi.35;sty.85;3;03.sie;1.833;3;4;01.sie;3;kwi.33;01.sie;3;kwi.33;01.wrz;lut.87;4;sty.95;sty.75;01.wrz;01.sie;sty.85;sty.95;-0.5;sty.85;2;-0.5;01.wrz;2;-0.5
I1;05.10.2003;Siena;Roma;0;0;D;0;0;D;kwi.33;3;01.sie;4;03.lut;sty.85;03.cze;03.sty;sty.85;4;3;1.833;kwi.33;mar.25;sty.73;kwi.33;03.lut;sty.75;04.lut;3;01.sie;sty.75;sty.95;sty.83;sty.83;sty.95;sty.85;0.5;sty.95;01.wrz;0.5;sty.95;sty.95;0.5
I1;18.10.2003;Ancona;Juventus;2;3;A;0;2;A;7;03.cze;sty.44;8;03.sie;01.kwi;05.kwi;03.sie;sty.45;06.maj;03.cze;1.444;7;03.maj;sty.44;7;03.cze;sty.44;7;03.maj;sty.44;sty.75;sty.95;sty.72;2;01.wrz;01.wrz;sty.25;01.wrz;sty.95;sty.25;01.wrz;2;sty.25
I1;18.10.2003;Brescia;Inter;2;2;D;1;0;H;mar.25;3;02.sty;mar.85;3;2;03.mar;3;2;03.kwi;3;2;mar.75;lut.88;2;mar.75;lut.87;2;03.cze;lut.87;2;sty.95;sty.75;sty.83;sty.83;01.sie;2;0.5;02.maj;01.sie;0.25;02.sty;01.sie;0.25
I1;19.10.2003;Bologna;Perugia;2;2;D;0;0;D;01.sie;3;kwi.33;sty.75;mar.15;5;sty.65;03.lut;04.cze;01.sie;03.lut;4;01.sie;mar.25;4;01.sie;03.lut;4;01.sie;3;04.lut;01.wrz;sty.79;sty.83;sty.83;sty.75;02.lut;-0.5;01.sie;02.maj;-0.5;01.sie;02.sty;-0.5
I1;19.10.2003;Chievo;Sampdoria;1;1;D;1;0;H;sty.83;mar.25;mar.75;01.wrz;3;04.sty;01.wrz;03.sty;03.maj;1.909;3;mar.75;sty.83;3;kwi.33;sty.85;3;04.lut;01.wrz;3;mar.75;sty.85;sty.85;01.sie;01.wrz;01.wrz;01.wrz;-0.5;sty.95;01.wrz;-0.5;1.975;1.925;-0.5
I1;19.10.2003;Milan;Lazio;1;0;H;1;0;H;sty.83;3;04.lut;01.wrz;3;04.sty;sty.75;03.sty;04.lut;1.727;03.lut;4.333;01.sie;mar.25;4;sty.83;3;04.lut;sty.72;03.sty;04.maj;sty.79;01.wrz;sty.83;sty.83;01.wrz;01.wrz;-0.5;01.wrz;sty.95;-0.5;01.wrz;2;-0.5
I1;19.10.2003;Modena;Lecce;2;0;H;0;0;D;01.sie;3;kwi.33;01.sie;mar.15;04.kwi;sty.75;03.sty;04.lut;01.sie;03.lut;4;01.sie;3;kwi.33;01.sie;3;kwi.33;01.sie;02.wrz;04.maj;01.wrz;sty.79;01.wrz;01.sie;01.sie;2;-0.5;sty.85;2;-0.5;01.sie;02.sty;-0.5
I1;19.10.2003;Reggina;Siena;2;1;H;1;0;H;02.sty;3;mar.25;lut.15;3;03.mar;2;02.wrz;03.kwi;02.sty;3;03.lut;02.sty;lut.88;03.maj;02.sty;lut.87;03.kwi;2;lut.87;03.cze;2;sty.71;01.wrz;01.sie;sty.95;sty.85;-0.25;sty.95;01.wrz;-0.25;2;01.wrz;-0.25
I1;19.10.2003;Roma;Parma;2;0;H;1;0;H;sty.66;03.lut;5;01.lip;mar.25;04.sie;01.lip;03.lut;04.lut;1.615;mar.25;5;sty.67;mar.25;5;sty.66;03.lut;5;sty.66;03.sty;5;sty.71;2;sty.72;2;2;01.sie;-0.75;02.maj;01.sie;-0.75;02.maj;sty.85;-0.75
I1;19.10.2003;Udinese;Empoli;2;0;H;2;0;H;01.maj;03.maj;6;01.maj;mar.55;7;sty.45;03.cze;05.sie;01.maj;03.kwi;6;01.maj;03.maj;06.maj;01.maj;03.kwi;06.maj;sty.44;03.maj;7;sty.79;01.wrz;01.sie;01.wrz;2;01.sie;-1.25;01.sie;02.maj;-1;01.wrz;2;-1
I1;25.10.2003;Empoli;Chievo;0;1;A;0;0;D;lut.62;3;02.maj;02.sie;02.wrz;02.maj;02.cze;02.wrz;02.maj;2.625;2.875;02.maj;02.lip;lut.88;02.maj;02.lip;lut.87;02.maj;lut.62;02.wrz;02.maj;sty.95;sty.75;01.wrz;01.sie;01.sie;2;0.25;01.sie;02.maj;0.25;01.sie;02.sty;0.25
I1;25.10.2003;Siena;Lecce;2;1;H;1;1;D;01.sie;03.sty;04.lut;01.sie;3;04.lip;01.lip;3;04.cze;1.727;03.lut;4.333;01.sie;3;kwi.33;01.sie;3;kwi.33;sty.83;3;4;2;sty.71;01.wrz;01.sie;01.sie;2;-0.5;sty.75;02.sty;-0.5;01.sie;02.sty;-0.5
I1;26.10.2003;Inter;Roma;0;0;D;0;0;D;02.mar;lut.87;3;lut.35;lut.95;lut.95;2;02.wrz;03.kwi;2.375;2.875;02.sie;lut.25;lut.88;03.sty;lut.25;lut.87;03.sty;02.mar;3;02.sie;sty.75;sty.95;sty.83;sty.83;02.sie;sty.75;-0.25;sty.75;02.sty;0;01.sie;02.sty;0
I1;26.10.2003;Juventus;Brescia;2;0;H;2;0;H;sty.28;04.maj;9;sty.28;04.maj;10;01.mar;4;08.maj;sty.25;04.maj;10;sty.29;kwi.33;9;sty.28;kwi.33;9;sty.25;kwi.33;11;sty.65;02.maj;sty.66;02.sty;02.sie;sty.75;-1.5;02.maj;01.sie;-1.5;02.sty;01.sie;-1.5
I1;26.10.2003;Lazio;Bologna;2;1;H;0;0;D;sty.44;03.cze;7;01.maj;03.maj;06.cze;sty.45;03.kwi;6;1.444;03.maj;7;01.maj;03.kwi;06.maj;01.maj;03.kwi;06.maj;01.kwi;mar.75;7;sty.75;sty.95;sty.72;2;2;01.sie;-1;2;sty.85;-1;02.maj;sty.85;-1
I1;26.10.2003;Parma;Modena;3;0;H;1;0;H;sty.53;03.kwi;6;sty.57;03.kwi;6;01.cze;03.mar;04.sie;1.571;mar.25;05.maj;sty.57;03.kwi;05.maj;sty.57;03.kwi;05.maj;01.maj;03.kwi;6;sty.79;01.wrz;sty.83;sty.83;01.sie;2;-0.75;01.sie;02.maj;-0.75;01.sie;02.sty;-0.75
I1;26.10.2003;Perugia;Udinese;3;3;D;2;1;H;02.mar;lut.87;3;02.mar;02.wrz;03.sty;02.mar;02.sie;02.wrz;lut.25;2.875;3;02.mar;3;lut.88;02.mar;3;lut.87;02.mar;3;02.sie;2;sty.71;2;sty.72;2;01.sie;-0.25;02.sty;sty.75;-0.25;02.sty;01.sie;-0.25
I1;26.10.2003;Reggina;Ancona;0;0;D;0;0;D;sty.57;03.kwi;05.maj;sty.55;03.kwi;6;01.cze;03.mar;04.sie;1.533;mar.25;6;sty.57;03.kwi;05.maj;sty.57;03.kwi;05.maj;sty.61;03.sty;05.maj;;;01.sie;01.wrz;;;;sty.85;2;-0.75;1.875;2.025;-0.75
I1;26.10.2003;Sampdoria;Milan;0;3;A;0;1;A;03.maj;3;2;mar.75;3;2;03.kwi;02.wrz;2;03.lut;3;02.sty;mar.75;03.sty;sty.91;mar.75;03.sty;01.wrz;03.cze;lut.87;2;01.wrz;sty.79;01.wrz;01.sie;01.sie;2;0.5;02.maj;01.sie;0.25;02.sty;01.sie;0.25
I1;01.11.2003;Milan;Juventus;1;1;D;0;0;D;lut.25;02.sie;03.lut;lut.35;02.sie;3;02.mar;02.sie;02.wrz;lut.38;lut.88;02.sie;lut.25;lut.88;03.sty;lut.25;lut.88;03.sty;02.mar;02.sie;3;2;sty.71;01.wrz;01.sie;01.sie;2;0;02.maj;01.sie;-0.25;02.maj;sty.85;-0.25
I1;01.11.2003;Udinese;Lazio;1;2;A;1;2;A;lut.62;3;02.maj;lut.75;02.sie;lut.55;02.lip;02.wrz;02.kwi;lut.75;3;lut.38;02.lip;lut.88;02.maj;02.lip;lut.88;02.maj;02.sie;lut.87;02.kwi;sty.85;sty.85;01.wrz;01.sie;sty.95;sty.85;0;sty.95;01.wrz;0;2;01.wrz;0
I1;02.11.2003;Ancona;Siena;0;0;D;0;0;D;lut.37;3;lut.75;lut.55;lut.85;02.lip;02.kwi;02.sie;02.sie;lut.62;lut.88;02.maj;02.kwi;02.wrz;02.sie;02.kwi;02.wrz;02.sie;lut.37;lut.87;02.sie;sty.85;sty.85;02.maj;01.lip;sty.86;sty.95;0;sty.85;2;0;01.sie;02.sty;0
I1;02.11.2003;Bologna;Sampdoria;0;1;A;0;1;A;2;3;03.maj;02.sty;lut.85;03.maj;02.sty;02.lip;03.maj;02.sty;3;03.lut;2;3;03.maj;2;3;03.maj;02.sty;02.sie;03.kwi;sty.85;sty.85;sty.83;sty.83;sty.75;02.maj;-0.25;sty.75;02.sty;-0.25;1.775;2.125;-0.25
I1;02.11.2003;Brescia;Parma;2;3;A;2;2;D;lut.75;3;lut.37;lut.75;02.sie;lut.55;02.sie;02.sie;02.kwi;02.maj;lut.88;lut.62;lut.75;3;02.kwi;lut.75;3;02.kwi;lut.62;02.wrz;02.maj;sty.85;sty.85;sty.83;sty.83;sty.95;sty.85;0;2;sty.85;0;2;01.wrz;0
I1;02.11.2003;Chievo;Inter;0;2;A;0;0;D;lut.87;3;02.mar;03.sty;lut.95;02.lut;02.lip;02.wrz;02.kwi;lut.88;3;lut.25;03.sty;3;02.lut;03.sty;3;02.lut;3;lut.87;lut.25;sty.95;sty.75;sty.83;sty.83;sty.55;02.mar;0.5;sty.85;2;0.25;01.sie;02.sty;0.25
I1;02.11.2003;Lecce;Empoli;2;1;H;2;0;H;sty.72;02.wrz;5;sty.65;03.lut;05.sty;sty.75;3;04.kwi;sty.73;lut.88;5;sty.75;3;kwi.75;sty.75;3;kwi.75;01.sie;3;04.lut;sty.75;sty.95;01.sie;01.wrz;sty.95;sty.85;-0.75;sty.95;01.wrz;-0.75;02.maj;sty.85;-0.75
I1;02.11.2003;Modena;Perugia;1;0;H;0;0;D;01.wrz;3;03.sie;2;3;03.sie;sty.85;02.wrz;4;2;3;03.kwi;sty.91;03.sty;mar.75;sty.91;03.sty;mar.75;2;lut.87;03.cze;2;sty.71;2;sty.72;sty.95;sty.85;-0.5;sty.95;01.wrz;-0.5;02.maj;sty.85;-0.5
I1;02.11.2003;Roma;Reggina;2;0;H;1;0;H;01.lut;5;12;sty.25;kwi.75;10;sty.25;04.mar;10;sty.25;04.maj;10;sty.25;kwi.75;10;sty.25;kwi.75;10;sty.22;04.maj;12;sty.55;lut.25;sty.66;02.sty;sty.85;sty.95;-1.5;sty.85;2;-1.5;01.wrz;2;-1.5
I1;08.11.2003;Brescia;Bologna;0;0;D;0;0;D;2;3;03.maj;2;3;03.lip;2;02.sie;03.cze;2;2.875;03.cze;2;3;03.maj;2;3;03.maj;02.sty;lut.87;03.mar;sty.95;sty.75;sty.83;sty.83;01.wrz;01.wrz;-0.25;01.wrz;sty.95;-0.25;01.wrz;2;-0.25
I1;08.11.2003;Sampdoria;Empoli;2;0;H;2;0;H;01.maj;03.kwi;06.maj;sty.45;03.lip;7;01.maj;03.maj;05.kwi;1.444;03.maj;7;01.maj;03.kwi;06.maj;01.maj;03.kwi;06.maj;sty.44;03.cze;06.maj;sty.75;sty.95;01.sie;01.wrz;sty.95;sty.85;-1.25;sty.95;01.wrz;-1.25;2.075;1.825;-1.25
I1;09.11.2003;Inter;Ancona;3;0;H;1;0;H;sty.14;6;13;sty.18;maj.25;14;01.lut;04.sie;11;1.167;5;13;sty.17;05.maj;13;sty.16;05.maj;13;sty.14;6;12;sty.65;02.maj;sty.66;02.sty;01.wrz;01.wrz;-1.75;01.wrz;sty.95;-1.75;sty.85;02.maj;-1.75
