Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;17.04.2004;Lecce;Udinese;2;1;H;1;1;D;02.maj;3;2.625;lut.35;02.wrz;3;02.kwi;3;02.cze;lut.38;lut.88;02.sie;02.maj;lut.88;lut.75;02.maj;lut.87;lut.75;02.kwi;02.sie;lut.87;sty.95;sty.75;02.sty;01.lip;02.maj;01.sie;-0.25;2;sty.85;-0.25;02.maj;sty.85;-0.25
I1;17.04.2004;Siena;Milan;1;2;A;1;1;D;5;03.sty;01.sie;kwi.85;mar.15;sty.73;04.cze;3;01.lip;5;lut.88;sty.73;04.maj;03.sty;sty.73;04.maj;03.lut;sty.72;05.maj;02.wrz;sty.66;sty.95;sty.75;2;01.sie;sty.85;2;0.75;01.sie;02.maj;0.75;1.875;2.025;0.75
I1;18.04.2004;Chievo;Reggina;0;0;D;0;0;D;02.sty;2.375;04.maj;;;;;;;lut.25;2;05.maj;;;;2;lut.62;04.lut;;;;;;;;lut.15;sty.58;-0.5;sty.95;01.wrz;-0.25;sty.85;02.maj;-0.25
I1;18.04.2004;Empoli;Brescia;1;1;D;0;1;A;lut.25;lut.75;mar.25;02.mar;02.lip;03.kwi;02.sty;02.lip;03.maj;02.lut;lut.75;mar.25;lut.25;lut.75;mar.25;lut.25;lut.75;mar.25;02.lut;02.cze;03.maj;2;01.lip;02.sty;01.lip;02.maj;01.sie;-0.25;sty.95;01.wrz;-0.25;02.maj;sty.85;-0.25
I1;18.04.2004;Inter;Bologna;4;2;H;1;0;H;1.444;03.cze;7;sty.45;03.cze;07.maj;sty.35;03.sie;07.maj;01.maj;mar.25;06.maj;01.maj;03.maj;6;01.maj;03.maj;6;sty.36;mar.75;8;sty.71;2;01.sie;2;2;sty.85;-1;sty.95;01.wrz;-1;02.maj;sty.85;-1
I1;18.04.2004;Lazio;Ancona;4;2;H;1;1;D;;;;01.gru;07.maj;15;01.gru;6;15;01.gru;6;13;01.sty;06.maj;17;01.sie;7;21;01.lip;8;15;sty.45;02.maj;;;;;;;;;;;
I1;18.04.2004;Modena;Roma;0;1;A;0;0;D;04.maj;03.lut;1.727;kwi.85;mar.15;sty.73;04.kwi;3;sty.75;kwi.33;03.lut;sty.73;04.maj;03.lut;sty.73;04.maj;03.lut;sty.72;5;02.wrz;sty.72;sty.95;sty.75;2;01.sie;sty.85;2;0.75;01.wrz;sty.95;0.75;sty.85;02.maj;0.75
I1;18.04.2004;Parma;Juventus;2;2;D;1;0;H;lut.75;3;02.kwi;02.sie;3;lut.45;02.sie;02.wrz;02.mar;02.maj;lut.88;lut.62;02.cze;lut.88;02.cze;02.cze;lut.87;02.cze;lut.75;02.wrz;02.kwi;sty.85;sty.85;sty.85;sty.95;02.maj;01.sie;0;02.maj;01.sie;0;2.075;1.825;0
I1;18.04.2004;Sampdoria;Perugia;3;2;H;2;0;H;1.615;03.kwi;5;sty.67;03.mar;5;01.lip;03.lut;04.lut;sty.67;mar.25;04.maj;01.lip;mar.25;04.maj;01.lip;mar.25;04.maj;sty.57;03.mar;05.maj;sty.85;sty.85;sty.85;sty.95;sty.67;sty.99;-0.5;01.sie;02.maj;-0.5;sty.85;02.maj;-0.5
I1;21.04.2004;Lazio;Roma;1;1;D;1;0;H;lut.75;3;2.375;lut.95;lut.95;lut.35;02.wrz;02.lip;02.kwi;lut.75;3;lut.38;lut.75;3;lut.38;lut.87;lut.87;lut.37;02.sie;02.wrz;lut.37;sty.85;sty.85;;;02.maj;01.sie;0;02.maj;01.sie;0;2.125;1.775;0
I1;25.04.2004;Ancona;Chievo;0;2;A;0;0;D;;;;05.maj;mar.15;sty.65;;;;;;;;;;kwi.33;03.lut;sty.73;5;03.mar;sty.61;;;;;;;;;;;;;
I1;25.04.2004;Bologna;Siena;3;1;H;1;0;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I1;25.04.2004;Brescia;Perugia;1;1;D;1;1;D;;;;;;;;;;sty.73;03.lut;kwi.33;;;;;;;;;;;;;;;;;01.lip;lut.15;-0.5;;;
I1;25.04.2004;Inter;Lazio;0;0;D;0;0;D;02.sty;3;03.lut;02.maj;3;mar.65;02.sty;02.wrz;03.lut;02.sty;03.lut;3;02.sty;3;mar.25;02.sty;3;mar.25;02.sty;3;03.lut;sty.75;sty.95;sty.95;sty.85;01.wrz;sty.95;-0.5;sty.95;01.wrz;-0.5;sty.95;sty.95;-0.5
I1;25.04.2004;Juventus;Lecce;3;4;A;1;3;A;sty.28;04.maj;8;01.mar;04.kwi;09.maj;01.mar;4;08.maj;sty.25;04.maj;10;01.mar;kwi.33;08.maj;01.mar;kwi.33;08.maj;01.mar;kwi.33;8;sty.65;02.maj;sty.75;02.maj;01.wrz;sty.95;-1.25;sty.85;2;-1.25;1.875;2.025;-1.25
I1;25.04.2004;Modena;Sampdoria;1;0;H;0;0;D;;;;02.maj;02.maj;03.mar;;;;lut.38;lut.75;3;02.kwi;02.maj;03.lut;02.kwi;02.maj;03.lut;02.maj;lut.62;02.wrz;;;;;02.sty;sty.77;-0.5;2;sty.85;-0.5;;;
I1;25.04.2004;Reggina;Parma;1;1;D;0;1;A;;;;02.lip;02.maj;3;02.sie;02.cze;02.cze;02.sie;lut.88;lut.38;lut.62;02.maj;lut.75;lut.62;02.maj;02.sie;02.sie;02.maj;02.lip;2;sty.71;;;sty.92;sty.92;0;01.wrz;sty.95;0;;;
