Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5
F1;22.02.2003;Nantes;Ajaccio;1;0;H;0;0;D;1.615;mar.25;5;sty.68;03.lut;05.lut;01.cze;03.lut;5;sty.66;mar.25;04.maj;1.615;03.kwi;5;sty.61;03.sty;05.maj;sty.95;sty.65
F1;22.02.2003;Sedan;Bordeaux;0;1;A;0;1;A;02.maj;03.sty;02.maj;02.cze;03.maj;lut.55;02.cze;02.sie;02.cze;02.maj;03.lut;02.maj;02.cze;3;02.maj;02.maj;03.sty;02.maj;sty.85;sty.75
F1;22.02.2003;Sochaux;Le Havre;1;0;H;0;0;D;1.727;03.sty;04.maj;sty.73;mar.25;04.cze;01.lip;3;04.cze;sty.66;mar.25;04.maj;1.727;03.lut;04.maj;sty.66;03.sty;5;02.maj;01.cze
F1;22.02.2003;Troyes;Strasbourg;1;0;H;1;0;H;02.lut;3;3;02.lut;3;03.lut;02.sty;02.wrz;03.lut;02.lut;3;3;02.sty;3;mar.25;02.sty;3;03.lut;lut.15;sty.55
F1;23.02.2003;Monaco;Auxerre;3;1;H;1;0;H;1.909;3;mar.75;sty.95;03.sty;mar.75;01.wrz;3;03.cze;2;3;03.kwi;1.909;03.sty;mar.75;01.wrz;03.sty;03.cze;sty.95;sty.65
F1;28.02.2003;Nice;Nantes;1;1;D;1;0;H;2;3;03.kwi;2;mar.15;03.maj;02.lut;02.sie;03.sty;01.wrz;03.lut;03.maj;1.909;03.sty;mar.75;2;3;03.kwi;lut.25;01.maj
F1;01.03.2003;Ajaccio;Lens;0;0;D;0;0;D;2.375;03.sty;2.625;02.maj;03.sty;lut.65;02.cze;02.sie;02.cze;02.maj;lut.87;lut.62;02.maj;3;02.cze;02.cze;02.sie;02.cze;lut.15;sty.55
F1;01.03.2003;Bordeaux;Sochaux;2;0;H;2;0;H;1.833;3;4;01.sie;03.sty;04.maj;01.lip;03.sty;04.kwi;sty.72;03.lut;kwi.33;01.sie;03.sty;04.lut;01.sie;03.sty;4;02.maj;01.cze
F1;01.03.2003;Le Havre;Bastia;2;0;H;1;0;H;02.lut;3;3;02.mar;03.sty;02.wrz;02.mar;02.wrz;02.sie;02.kwi;mar.25;02.maj;lut.25;03.sty;2.875;lut.25;3;lut.87;lut.15;sty.55
F1;01.03.2003;Lille;Monaco;1;3;A;0;0;D;2.625;03.sty;2.375;02.lip;03.sty;lut.45;02.sie;02.sie;02.kwi;lut.75;3;lut.37;lut.75;3;02.kwi;02.sie;3;02.mar;02.maj;01.cze
F1;01.03.2003;Montpellier;Guingamp;2;0;H;1;0;H;02.lut;3;3;lut.25;03.sty;3;02.lut;02.sie;03.sty;lut.25;03.lut;lut.75;02.mar;03.sty;02.sie;02.mar;3;02.sie;sty.95;sty.65
F1;01.03.2003;Paris SG;Troyes;4;2;H;1;2;A;1.615;mar.25;5;01.cze;03.mar;maj.75;01.maj;03.kwi;05.cze;sty.53;03.kwi;05.maj;1.571;03.mar;05.maj;sty.61;03.mar;5;02.maj;01.cze
F1;01.03.2003;Rennes;Sedan;1;0;H;0;0;D;1.833;3;4;sty.85;mar.15;04.sty;sty.75;03.sty;04.lut;01.wrz;03.lut;03.maj;sty.85;03.sty;4;sty.83;3;4;02.maj;01.cze
