Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
SP1;07.11.2004;Sociedad;Espanol;0;2;A;0;0;D;2;mar.25;mar.25;sty.95;mar.25;mar.55;02.maj;03.mar;03.maj;01.wrz;3;03.cze;sty.83;03.lut;mar.75;02.sty;03.sty;03.mar;2;03.sty;03.mar;02.maj;sty.65;02.lut;sty.65;sty.75;02.maj;-0.25;sty.72;02.gru;-0.25;1.775;2.125;-0.25
SP1;07.11.2004;Villarreal;Osasuna;3;0;H;2;0;H;sty.83;mar.25;mar.75;sty.85;mar.25;mar.95;sty.85;03.mar;04.lut;sty.85;03.sty;03.cze;sty.73;03.lut;kwi.33;sty.91;mar.25;mar.75;01.wrz;3;mar.75;sty.95;sty.75;02.lut;sty.65;sty.85;sty.85;-0.5;sty.88;sty.96;-0.5;01.wrz;2;-0.5
SP1;13.11.2004;Ath Bilbao;Villarreal;2;1;H;0;0;D;02.sty;mar.25;3;02.sty;03.lut;03.lut;lut.15;03.lut;03.mar;02.lut;02.wrz;3;sty.91;3;mar.75;02.lut;03.sty;03.sty;sty.95;03.lut;03.mar;01.wrz;sty.79;02.lut;sty.65;sty.85;sty.95;-0.25;sty.84;2;-0.25;1.825;2.075;-0.25
SP1;13.11.2004;Espanol;Santander;2;1;H;1;0;H;01.sie;mar.25;4;01.sie;03.mar;04.sty;sty.85;03.mar;04.mar;01.sie;03.sty;03.sie;01.sie;03.lut;4;sty.85;mar.25;4;sty.72;03.lut;kwi.33;02.maj;sty.65;lut.25;sty.61;sty.85;sty.87;-0.5;sty.84;2;-0.5;01.wrz;2;-0.5
SP1;13.11.2004;Getafe;Malaga;1;0;H;0;0;D;02.sty;mar.25;3;2;mar.25;03.kwi;lut.25;mar.15;03.lut;02.lut;3;02.wrz;2;03.lut;03.lut;02.lut;03.lut;3;02.maj;03.sty;03.lut;2;sty.71;lut.15;sty.66;sty.95;sty.85;-0.25;sty.96;sty.88;-0.25;1.975;1.925;-0.25
SP1;13.11.2004;La Coruna;Levante;1;0;H;0;0;D;sty.66;03.cze;5;01.lip;03.kwi;kwi.55;01.lip;03.kwi;05.sty;01.lip;03.lut;04.lut;sty.73;03.lut;kwi.33;sty.62;03.maj;05.lut;sty.61;03.mar;5;sty.85;sty.85;01.wrz;01.wrz;01.wrz;01.wrz;-0.75;sty.96;sty.88;-0.75;1.975;1.925;-0.75
SP1;13.11.2004;Numancia;Sevilla;2;1;H;0;0;D;02.sie;mar.25;02.lut;03.maj;03.lut;lut.15;mar.35;mar.25;02.sty;02.wrz;3;02.lut;3;03.lut;02.sty;3;mar.25;02.lut;02.wrz;3;lut.25;02.maj;sty.65;02.lut;sty.65;2;01.sie;0.25;2;sty.84;0.25;2;01.wrz;0.25
SP1;13.11.2004;Osasuna;Sociedad;1;0;H;0;0;D;02.sty;mar.25;3;sty.95;mar.25;mar.55;02.sty;03.lut;03.maj;02.lut;02.wrz;3;sty.91;03.lut;03.maj;02.sty;03.lut;mar.25;2;03.sty;03.mar;sty.95;sty.75;02.maj;sty.75;02.sty;sty.67;-0.5;02.sty;sty.74;-0.5;lut.15;sty.75;-0.5
SP1;13.11.2004;Valencia;Zaragoza;0;0;D;0;0;D;sty.72;mar.25;kwi.33;01.cze;03.maj;05.lut;sty.73;03.kwi;kwi.75;01.lip;03.lut;04.lut;sty.73;03.lut;kwi.33;sty.67;03.kwi;5;sty.61;03.mar;5;01.wrz;sty.79;02.maj;sty.75;sty.95;sty.85;-0.75;02.lut;sty.82;-0.75;2.075;1.825;-0.75
SP1;14.11.2004;Betis;Barcelona;2;1;H;0;0;D;04.maj;03.kwi;01.sie;04.mar;mar.35;sty.75;04.maj;03.kwi;sty.77;03.sie;3;sty.85;kwi.33;03.lut;sty.73;kwi.33;mar.25;01.sie;4;03.sty;01.sie;01.wrz;sty.79;2;01.sie;sty.94;sty.77;0.5;sty.76;02.sie;0.75;sty.85;02.maj;0.75
