Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;26.09.2004;Lecce;Cagliari;3;1;H;0;0;D;sty.83;3;kwi.33;01.wrz;mar.15;mar.85;01.wrz;3;kwi.25;sty.85;3;03.sie;sty.83;3;4;sty.85;3;04.maj;sty.83;3;4;sty.75;sty.95;01.sie;2;01.wrz;sty.76;-0.5;1.833;3;4;2;01.wrz;-0.5
I1;26.09.2004;Livorno;Atalanta;1;1;D;0;0;D;02.lut;3;03.sty;02.mar;lut.95;03.maj;lut.25;3;03.sty;02.mar;02.lip;3;02.sty;lut.88;03.kwi;lut.25;3;03.sty;02.lut;3;3;sty.95;sty.75;sty.95;sty.85;2;01.sie;-0.25;02.sty;2.875;03.kwi;2.025;1.875;-0.25
I1;26.09.2004;Messina;Chievo;0;0;D;0;0;D;lut.25;3;3;02.lut;02.wrz;03.mar;lut.25;3;03.sty;02.lut;02.wrz;3;02.lut;3;3;02.lut;3;03.lut;lut.15;3;03.sty;sty.95;sty.75;2;01.sie;sty.95;sty.85;-0.25;02.lut;3;3;2.025;1.875;-0.25
I1;26.09.2004;Siena;Reggina;0;0;D;0;0;D;02.lut;3;03.sty;lut.25;02.wrz;mar.25;02.lut;02.wrz;03.kwi;02.lut;02.lip;03.lut;02.sty;lut.75;03.maj;02.lut;lut.88;03.kwi;02.sty;3;03.lut;2;sty.71;lut.15;sty.66;sty.95;sty.85;-0.25;02.sty;lut.75;03.maj;02.maj;sty.85;-0.25
I1;26.09.2004;Udinese;Brescia;1;2;A;0;1;A;sty.61;03.lut;05.maj;sty.55;mar.35;06.maj;sty.65;03.lut;5;01.cze;03.lut;5;sty.57;mar.25;05.maj;sty.62;03.mar;05.maj;01.lip;03.lut;04.maj;2;sty.71;2;01.sie;01.wrz;01.wrz;-1;01.maj;mar.25;06.maj;sty.95;sty.95;-1
I1;02.10.2004;Cagliari;Brescia;2;1;H;1;1;D;01.wrz;03.sty;mar.75;sty.91;02.wrz;04.mar;01.wrz;02.wrz;04.mar;sty.85;02.wrz;4;sty.83;3;4;sty.95;3;4;01.sie;3;04.lut;sty.85;sty.85;2;01.sie;01.wrz;sty.73;-0.5;2;sty.84;-0.5;2.075;1.825;-0.5
I1;02.10.2004;Chievo;Lecce;2;1;H;0;0;D;2;3;03.maj;02.sty;03.sty;03.mar;02.sty;3;mar.45;02.sty;02.wrz;03.lut;2;02.sie;mar.75;02.maj;3;03.cze;02.maj;lut.87;03.maj;sty.71;2;sty.85;sty.95;01.wrz;01.wrz;-0.25;01.wrz;sty.94;-0.25;1.925;1.975;-0.25
I1;03.10.2004;Atalanta;Lazio;1;1;D;1;0;H;lut.75;3;lut.37;lut.85;02.wrz;lut.45;02.sie;02.wrz;02.maj;02.lip;02.sie;02.maj;lut.75;lut.88;02.kwi;02.wrz;3;lut.38;02.sie;lut.87;02.kwi;sty.95;sty.75;02.maj;sty.75;sty.95;sty.85;0;sty.96;sty.88;0;2;01.wrz;0
I1;03.10.2004;Messina;Siena;4;1;H;2;1;H;01.wrz;03.sty;mar.75;01.wrz;lut.85;04.maj;sty.85;02.wrz;kwi.65;sty.85;3;03.sie;sty.83;3;4;sty.85;3;04.maj;sty.72;3;04.sie;2;sty.71;02.maj;sty.75;sty.85;sty.79;-0.5;02.kwi;01.sie;-0.5;02.maj;sty.85;-0.5
I1;03.10.2004;Milan;Reggina;3;1;H;1;0;H;01.lut;5;12;sty.22;maj.25;11;sty.25;5;10;sty.25;04.maj;9;sty.22;5;10;sty.22;05.maj;10.maj;sty.22;5;09.maj;sty.65;02.maj;01.lip;02.sty;01.wrz;01.wrz;-1.5;sty.96;sty.88;-1.5;2;01.wrz;-1.5
