Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Attendance;Referee;HS;AS;HST;AST;HHW;AHW;HC;AC;HF;AF;HO;AO;HY;AY;HR;AR;HBP;ABP;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA
D1;16.12.2000;FC Koln;Schalke 04;2;2;D;0;2;A;42000;Herbert Fandel ;12;14;4;6;0;0;3;8;20;20;0;0;4;2;1;0;65;20;02.mar;03.kwi;02.cze;02.kwi;02.wrz;02.kwi;lut.37;mar.25;02.maj;lut.38;03.sty;02.cze;02.mar;03.sty;lut.75
D1;16.12.2000;Munich 1860;Hamburg;2;1;H;1;0;H;15000;Markus Merk ;15;12;6;4;2;0;6;4;21;17;1;1;0;3;0;1;0;55;02.lut;03.kwi;02.lip;02.lut;02.wrz;02.lip;02.lut;mar.25;lut.75;02.sty;03.sty;03.sty;02.lut;03.lut;02.sie
D1;16.12.2000;Bochum;Kaiserslautern;0;1;A;0;1;A;15000;Franz-Xaver Wack ;12;8;5;5;0;0;5;2;23;14;4;4;2;4;1;0;45;40;02.cze;03.sty;02.kwi;lut.35;3;lut.35;lut.75;03.lut;lut.25;02.lip;03.sty;02.mar;lut.65;03.sty;lut.35
D1;16.12.2000;Hansa Rostock;Dortmund;1;2;A;0;1;A;14000;Bernd Heynemann ;13;12;3;6;0;0;13;4;19;13;0;4;2;2;0;0;20;20;02.lip;3;02.kwi;02.kwi;02.wrz;02.kwi;02.maj;mar.25;lut.37;02.cze;03.sty;02.kwi;lut.75;03.lut;lut.25
D1;16.12.2000;Stuttgart;Freiburg;0;0;D;0;0;D;22000;Helmut Krug ;22;4;11;2;1;0;14;2;20;28;2;4;2;3;0;0;20;30;sty.85;03.lut;03.sie;01.sie;3;03.maj;sty.73;03.maj;mar.75;sty.75;03.lut;04.lut;01.sie;03.mar;mar.75
D1;16.12.2000;Wolfsburg;Leverkusen;2;0;H;0;0;D;12965;Lutz Wagner ;19;11;9;4;1;0;5;6;19;22;3;4;2;3;0;0;20;30;02.cze;03.lut;02.kwi;02.mar;02.sie;02.cze;lut.75;mar.25;02.lut;02.maj;03.sty;02.maj;02.maj;03.sty;02.maj
D1;17.12.2000;Cottbus;Werder Bremen;3;1;H;2;1;H;12700;JÅrgen Aust ;14;11;6;5;0;0;4;4;21;18;1;6;2;4;0;0;20;40;lut.25;03.lut;02.sie;02.mar;02.wrz;02.maj;02.lut;mar.25;lut.75;02.lut;03.sty;lut.88;02.lut;03.lut;02.sie
D1;17.12.2000;Hertha;Bayern Munich;1;3;A;1;2;A;55000;Alfons Berg ;10;9;4;6;0;0;5;5;16;18;1;2;1;2;0;0;10;20;02.cze;03.lut;02.kwi;lut.35;3;lut.35;02.cze;03.lut;lut.37;02.cze;03.sty;02.kwi;lut.62;03.sty;02.kwi
D1;20.12.2000;Unterhaching;Werder Bremen;0;0;D;0;0;D;8500;Hartmut Strampe ;7;5;3;1;0;0;11;7;16;21;2;1;1;0;0;0;10;0;lut.15;02.wrz;03.lut;02.sty;02.wrz;02.wrz;;;;sty.95;03.lut;03.lut;2;03.lut;03.lut
D1;26.01.2001;Schalke 04;Hansa Rostock;2;0;H;1;0;H;29700;Hartmut Strampe ;21;4;10;0;0;0;10;4;19;20;2;1;0;2;0;0;0;20;sty.35;4;07.lut;01.maj;03.lut;5;sty.44;03.maj;7;01.kwi;mar.75;7;sty.36;4;7
