Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;GBAHH;GBAHA;GBAH;B365AHH;B365AHA;B365AH
F1;25.04.2004;Paris SG;Marseille;2;1;H;1;0;H;01.sie;mar.25;4;01.sie;mar.15;04.lut;01.sie;3;4;01.sie;03.lut;4;sty.73;mar.25;kwi.33;sty.75;03.lut;kwi.33;sty.72;03.sty;04.maj;2;sty.65;01.sie;01.sie;-0.5;1.875;2.025;-0.5
F1;30.04.2004;Nice;Monaco;1;2;A;1;2;A;02.maj;mar.25;02.kwi;02.wrz;3;lut.25;3;02.wrz;02.lut;3;3;02.lut;02.sie;03.sty;02.mar;02.sie;03.lut;02.lut;02.sie;03.lut;02.lut;02.mar;01.maj;sty.85;sty.95;0.25;01.wrz;2;0.25
F1;01.05.2004;Ajaccio;Guingamp;0;0;D;0;0;D;02.lut;3;3;lut.15;3;03.maj;02.sty;02.wrz;03.lut;02.sty;3;03.lut;02.lut;3;03.sty;2;3;03.kwi;2;3;03.kwi;02.lut;sty.55;sty.87;sty.93;-0.25;1.875;2.025;-0.25
F1;01.05.2004;Le Mans;Auxerre;2;1;H;2;0;H;lut.75;03.lut;lut.25;lut.85;03.sty;02.lut;02.wrz;3;02.lut;3;03.kwi;2;lut.88;03.lut;02.lut;02.sie;3;02.mar;02.sie;3;02.mar;02.mar;01.maj;sty.85;sty.95;0.25;sty.95;sty.95;0.25
F1;01.05.2004;Lens;Toulouse;1;1;D;1;0;H;01.sie;03.mar;mar.75;sty.91;03.sty;03.cze;2;3;03.mar;01.sie;mar.25;mar.75;2;03.lut;03.mar;01.wrz;03.sty;03.cze;01.wrz;03.sty;03.cze;02.lut;sty.55;sty.91;sty.67;-0.5;2.075;1.825;-0.5
F1;01.05.2004;Marseille;Metz;0;1;A;0;1;A;sty.61;03.maj;04.maj;sty.65;03.mar;kwi.65;sty.65;03.lut;04.cze;01.maj;03.cze;05.maj;sty.67;mar.25;kwi.75;sty.53;03.kwi;05.maj;sty.53;03.kwi;05.maj;02.sty;01.cze;sty.85;sty.95;-0.75;sty.95;sty.95;-0.75
F1;01.05.2004;Nantes;Lille;2;0;H;2;0;H;01.sie;03.mar;mar.75;01.sie;03.sty;4;01.sie;03.sty;03.sie;01.sie;03.lut;4;sty.85;03.sty;4;01.sie;03.sty;4;01.sie;03.sty;4;2;sty.65;01.sie;sty.75;-0.5;sty.95;sty.95;-0.5
F1;01.05.2004;Rennes;Bastia;4;0;H;3;0;H;sty.83;03.lut;mar.75;sty.95;lut.85;03.sie;02.sty;02.maj;03.sie;sty.91;3;mar.75;sty.91;02.wrz;4;sty.83;3;4;sty.83;3;4;2;sty.65;sty.95;sty.63;-0.5;02.maj;sty.85;-0.5
F1;01.05.2004;Sochaux;Montpellier;3;1;H;2;1;H;sty.57;03.maj;5;01.cze;03.kwi;kwi.85;sty.65;03.mar;04.kwi;sty.62;mar.25;5;sty.57;03.kwi;05.maj;sty.61;03.mar;5;sty.61;03.mar;5;sty.95;sty.71;01.sie;2;-0.75;sty.85;02.maj;-0.75
F1;01.05.2004;Strasbourg;Paris SG;0;0;D;0;0;D;3;03.lut;02.sty;03.kwi;3;2;03.cze;3;01.wrz;03.lut;03.lut;2;03.kwi;03.sty;2;03.mar;03.sty;2;03.mar;03.sty;2;2;sty.65;sty.59;2;0.5;sty.85;02.maj;0.5
F1;02.05.2004;Bordeaux;Lyon;1;1;D;0;0;D;lut.62;03.lut;02.mar;03.maj;3;lut.15;03.lut;02.wrz;02.sty;03.lut;03.lut;2;03.lut;03.sty;02.sty;03.sty;03.sty;02.sty;03.sty;03.sty;02.sty;02.lut;sty.55;2;01.sie;0.25;02.maj;sty.85;0.25
F1;08.05.2004;Auxerre;Ajaccio;1;1;D;1;0;H;sty.53;03.kwi;6;sty.45;mar.75;maj.75;01.maj;03.maj;05.kwi;01.maj;03.kwi;6;sty.53;03.maj;05.maj;sty.53;03.maj;05.maj;sty.44;03.cze;06.maj;sty.75;01.wrz;01.wrz;01.wrz;-1.25;1.925;1.975;-1.25
F1;08.05.2004;Bastia;Strasbourg;0;0;D;0;0;D;02.lut;lut.62;03.maj;02.maj;lut.65;03.sie;02.lut;02.kwi;03.cze;02.sty;lut.75;03.cze;02.sty;02.cze;4;02.sty;02.cze;4;2;02.cze;04.lut;02.lut;sty.55;01.sie;2;-0.25;1.825;2.075;-0.25
F1;08.05.2004;Guingamp;Le Mans;2;4;A;0;2;A;sty.83;mar.25;mar.75;sty.85;03.lut;mar.65;sty.85;3;03.sie;sty.73;03.kwi;4;sty.83;03.lut;mar.75;sty.85;03.lut;mar.75;01.sie;03.mar;mar.75;02.sty;01.cze;sty.85;sty.71;-0.5;sty.95;sty.95;-0.5
F1;08.05.2004;Lille;Bordeaux;2;1;H;1;0;H;lut.25;3;lut.87;lut.25;3;lut.85;02.kwi;02.sie;02.sie;02.sty;03.lut;3;02.mar;03.sty;02.sie;02.mar;03.sty;02.sie;02.lut;03.sty;lut.87;02.mar;01.maj;2;01.sie;-0.25;2.125;1.775;-0.25
